college_no,college,major,enrollment,min,max,year,level,face_pro,student_type
1101,北京大学,文科试验班类,1,655,655,2019,本科一批,重庆,文科
1101,北京大学,中国语言文学类,1,659,659,2019,本科一批,重庆,文科
1101,北京大学,历史学类,1,635,635,2019,本科一批,重庆,文科
1101,北京大学,国际政治（国政、外交学、国际政经）,1,635,635,2019,本科一批,重庆,文科
1101,北京大学,法学,3,635,638,2019,本科一批,重庆,文科
1101,北京大学,信息管理与信息系统,1,639,639,2019,本科一批,重庆,文科
1101,北京大学,经济学类,2,643,643,2019,本科一批,重庆,文科
1101,北京大学,工商管理类,1,644,644,2019,本科一批,重庆,文科
1101,北京大学,公共管理类,3,635,638,2019,本科一批,重庆,文科
1101,北京大学,人文科学试验班,1,634,634,2019,本科一批,重庆,文科
1103,中国人民大学,法学,3,626,632,2019,本科一批,重庆,文科
1103,中国人民大学,财政学类,2,625,628,2019,本科一批,重庆,文科
1103,中国人民大学,社会学类,2,623,623,2019,本科一批,重庆,文科
1103,中国人民大学,农业经济管理类,2,623,626,2019,本科一批,重庆,文科
1103,中国人民大学,金融学类,5,625,631,2019,本科一批,重庆,文科
1103,中国人民大学,新闻传播学类,2,625,626,2019,本科一批,重庆,文科
1103,中国人民大学,公共管理类,2,622,622,2019,本科一批,重庆,文科
1103,中国人民大学,国际政治,2,623,624,2019,本科一批,重庆,文科
1103,中国人民大学,经济学类,3,628,629,2019,本科一批,重庆,文科
1103,中国人民大学,工商管理类,5,624,625,2019,本科一批,重庆,文科
1103,中国人民大学,人文科学试验班,2,623,625,2019,本科一批,重庆,文科
1103,中国人民大学,人力资源管理,4,623,624,2019,本科一批,重庆,文科
1103,中国人民大学,信息资源管理,3,622,623,2019,本科一批,重庆,文科
1104,清华大学,文科试验班类（经济、金融与管理）,2,643,645,2019,本科一批,重庆,文科
1105,北京交通大学,新闻传播学类,2,586,588,2019,本科一批,重庆,文科
1105,北京交通大学,外国语言文学类,1,590,590,2019,本科一批,重庆,文科
1105,北京交通大学,法学,2,584,585,2019,本科一批,重庆,文科
1105,北京交通大学,经济管理试验班,1,591,591,2019,本科一批,重庆,文科
1106,北京航空航天大学,社会科学试验班,3,599,603,2019,本科一批,重庆,文科
1107,北京理工大学,社会科学试验班（精品文科班）,3,596,597,2019,本科一批,重庆,文科
1108,北京科技大学,工商管理类,1,583,583,2019,本科一批,重庆,文科
1108,北京科技大学,经济与贸易类,1,571,571,2019,本科一批,重庆,文科
1108,北京科技大学,人文科学试验班,6,577,586,2019,本科一批,重庆,文科
1108,北京科技大学,英语,1,552,552,2019,本科一批,重庆,文科
1108,北京科技大学,日语,2,576,582,2019,本科一批,重庆,文科
1108,北京科技大学,德语,1,575,575,2019,本科一批,重庆,文科
1110,北京化工大学,工商管理类,3,534,569,2019,本科一批,重庆,文科
1110,北京化工大学,法学,2,560,572,2019,本科一批,重庆,文科
1110,北京化工大学,英语,3,550,561,2019,本科一批,重庆,文科
1113,北京印刷学院,编辑出版学,2,541,551,2019,本科一批,重庆,文科
1113,北京印刷学院,数字出版,2,532,536,2019,本科一批,重庆,文科
1113,北京印刷学院,广告学,1,532,532,2019,本科一批,重庆,文科
1113,北京印刷学院,传播学（国际出版）,1,529,529,2019,本科一批,重庆,文科
1116,中国农业大学,法学,1,591,591,2019,本科一批,重庆,文科
1116,中国农业大学,社会学,1,593,593,2019,本科一批,重庆,文科
1116,中国农业大学,农村区域发展,2,591,594,2019,本科一批,重庆,文科
1116,中国农业大学,工商管理类,2,592,595,2019,本科一批,重庆,文科
1116,中国农业大学,传播学,1,591,591,2019,本科一批,重庆,文科
1116,中国农业大学,英语,1,591,591,2019,本科一批,重庆,文科
9710,中国农业大学,经济学类（中外合作办学）,1,587,587,2019,本科一批,重庆,文科
9710,中国农业大学,新闻传播学类（中外合作办学）,1,578,578,2019,本科一批,重庆,文科
1117,北京林业大学,农林经济管理,1,581,581,2019,本科一批,重庆,文科
1117,北京林业大学,工商管理类,3,578,579,2019,本科一批,重庆,文科
1117,北京林业大学,法学,2,575,576,2019,本科一批,重庆,文科
1117,北京林业大学,英语,2,574,574,2019,本科一批,重庆,文科
1118,北京中医药大学,中医学,1,608,608,2019,本科一批,重庆,文科
1118,北京中医药大学,英语（医学）,1,600,600,2019,本科一批,重庆,文科
1120,首都师范大学,中国语言文学类,2,571,571,2019,本科一批,重庆,文科
1120,首都师范大学,文化产业管理,2,570,575,2019,本科一批,重庆,文科
1122,北京外国语大学,英语,1,613,613,2019,本科一批,重庆,文科
1122,北京外国语大学,西班牙语,1,621,621,2019,本科一批,重庆,文科
1122,北京外国语大学,德语,1,614,614,2019,本科一批,重庆,文科
1122,北京外国语大学,汉语国际教育,1,611,611,2019,本科一批,重庆,文科
1122,北京外国语大学,汉语言文学,1,609,609,2019,本科一批,重庆,文科
1122,北京外国语大学,新闻学,1,611,611,2019,本科一批,重庆,文科
1122,北京外国语大学,外交学（法语与法语国家研究）,1,615,615,2019,本科一批,重庆,文科
1123,北京第二外国语学院,商务英语,1,581,581,2019,本科一批,重庆,文科
1123,北京第二外国语学院,日语,1,576,576,2019,本科一批,重庆,文科
1123,北京第二外国语学院,德语,1,576,576,2019,本科一批,重庆,文科
1123,北京第二外国语学院,西班牙语,1,579,579,2019,本科一批,重庆,文科
1123,北京第二外国语学院,朝鲜语（韩国语）,1,576,576,2019,本科一批,重庆,文科
1123,北京第二外国语学院,旅游管理,1,580,580,2019,本科一批,重庆,文科
1123,北京第二外国语学院,金融学,1,575,575,2019,本科一批,重庆,文科
1123,北京第二外国语学院,汉语言文学,1,578,578,2019,本科一批,重庆,文科
1123,北京第二外国语学院,新闻学（国际新闻）,1,571,571,2019,本科一批,重庆,文科
1123,北京第二外国语学院,国际事务与国际关系,1,576,576,2019,本科一批,重庆,文科
1124,北乐语舌大学,国际事务与国际关系,1,558,558,2019,本科一批,重庆,文科
1124,北乐语舌大学,英语,1,569,569,2019,本科一批,重庆,文科
1124,北乐语舌大学,汉语国际教育,2,566,590,2019,本科一批,重庆,文科
1124,北乐语舌大学,汉语言文学,1,572,572,2019,本科一批,重庆,文科
1124,北乐语舌大学,金融学,1,580,580,2019,本科一批,重庆,文科
1124,北乐语舌大学,会计学,1,554,554,2019,本科一批,重庆,文科
1124,北乐语舌大学,人力资源管理,1,555,555,2019,本科一批,重庆,文科
1124,北乐语舌大学,特殊教育（言语听觉科学）,1,541,541,2019,本科一批,重庆,文科
1125,中国传媒大学,新闻学,2,603,605,2019,本科一批,重庆,文科
1125,中国传媒大学,公共关系学,2,596,601,2019,本科一批,重庆,文科
1125,中国传媒大学,工商管理类,2,597,597,2019,本科一批,重庆,文科
1125,中国传媒大学,汉语言文学,2,598,600,2019,本科一批,重庆,文科
1126,中央财经大学,公共管理类,3,601,614,2019,本科一批,重庆,文科
1126,中央财经大学,社会学类,3,597,598,2019,本科一批,重庆,文科
1126,中央财经大学,财政学类,2,603,603,2019,本科一批,重庆,文科
1126,中央财经大学,金融学类,2,605,614,2019,本科一批,重庆,文科
1126,中央财经大学,新闻传播学类,4,600,609,2019,本科一批,重庆,文科
1127,对外经济贸易大学,金融学类,3,606,613,2019,本科一批,重庆,文科
1127,对外经济贸易大学,法学类,3,602,605,2019,本科一批,重庆,文科
1127,对外经济贸易大学,工商管理类,6,606,610,2019,本科一批,重庆,文科
1127,对外经济贸易大学,外国语言文学类,1,602,602,2019,本科一批,重庆,文科
1127,对外经济贸易大学,保險学,2,603,603,2019,本科一批,重庆,文科
1127,对外经济贸易大学,经济学类,3,610,615,2019,本科一批,重庆,文科
1128,北京物资学院,经济学,1,533,533,2019,本科一批,重庆,文科
1128,北京物资学院,物流管理,1,535,535,2019,本科一批,重庆,文科
1128,北京物资学院,会计学（注册会计师）,1,534,534,2019,本科一批,重庆,文科
1128,北京物资学院,会计学（管理会计）,1,533,533,2019,本科一批,重庆,文科
1128,北京物资学院,财务管理,1,537,537,2019,本科一批,重庆,文科
1128,北京物资学院,人力资源管理,2,533,533,2019,本科一批,重庆,文科
1132,北京体育大学,新闻学（体育新闻）,1,569,569,2019,本科一批,重庆,文科
1132,北京体育大学,教育学（体育方向）,1,564,564,2019,本科一批,重庆,文科
1132,北京体育大学,公共事业管理（体育管理）,1,565,565,2019,本科一批,重庆,文科
1132,北京体育大学,体育经济与管理,1,564,564,2019,本科一批,重庆,文科
1132,北京体育大学,汉语国际教育,1,564,564,2019,本科一批,重庆,文科
1132,北京体育大学,英语（国际体育）,1,566,566,2019,本科一批,重庆,文科
1132,北京体育大学,网络与新媒体,1,566,566,2019,本科一批,重庆,文科
1137,中国戏曲学院,文化产业管理,1,532,532,2019,本科一批,重庆,文科
1138,北京电影学院,文化产业管理,2,573,589,2019,本科一批,重庆,文科
1140,中央民族大学,哲学类,2,584,585,2019,本科一批,重庆,文科
1140,中央民族大学,经济学类,2,592,598,2019,本科一批,重庆,文科
1140,中央民族大学,法学类,3,586,588,2019,本科一批,重庆,文科
1140,中央民族大学,社会学类,2,587,590,2019,本科一批,重庆,文科
1140,中央民族大学,民族学,2,589,592,2019,本科一批,重庆,文科
1140,中央民族大学,汉语言文学,2,585,599,2019,本科一批,重庆,文科
1140,中央民族大学,汉语国际教育,2,586,589,2019,本科一批,重庆,文科
1140,中央民族大学,新闻传播学类,3,593,594,2019,本科一批,重庆,文科
1140,中央民族大学,公共管理类,3,584,585,2019,本科一批,重庆,文科
1140,中央民族大学,外国语言文学类,2,587,588,2019,本科一批,重庆,文科
2 1141,中国政法大学,法学,11,604,611,2019,本科一批,重庆,文科
2 1141,中国政法大学,法学（法学人才培养模式改革实验班）,2,609,621,2019,本科一批,重庆,文科
2 1141,中国政法大学,社会学,1,599,599,2019,本科一批,重庆,文科
2 1141,中国政法大学,英语（法律英语方向）,1,600,600,2019,本科一批,重庆,文科
