college_no,college,major,enrollment,min,max,year,level,face_pro,student_type
1101,北京大学,物理学类,1,696,696,2019,本科一批,重庆,理科
1101,北京大学,电子信息类,1,696,696,2019,本科一批,重庆,理科
1101,北京大学,计算机类,1,698,698,2019,本科一批,重庆,理科
1101,北京大学,理科试验班类,4,695,700,2019,本科一批,重庆,理科
1101,北京大学,工商管理类,5,695,703,2019,本科一批,重庆,理科
1101,北京大学,法学,1,695,695,2019,本科一批,重庆,理科
1102,北京大学医学部,药学（六年制）,4,686,689,2019,本科一批,重庆,理科
1102,北京大学医学部,基础医学（八年制）,4,687,689,2019,本科一批,重庆,理科
1102,北京大学医学部,预防医学（七年制）,2,686,686,2019,本科一批,重庆,理科
1102,北京大学医学部,临床医学（八年制）,5,689,692,2019,本科一批,重庆,理科
1102,北京大学医学部,口腔医学（八年制）,2,693,694,2019,本科一批,重庆,理科
9717,北京大学医学部,护理学,5,666,685,2019,本科一批,重庆,理科
1103,中国人民大学,理科试验班（信息与数学）,6,675,677,2019,本科一批,重庆,理科
1103,中国人民大学,统计学类,4,677,683,2019,本科一批,重庆,理科
1103,中国人民大学,国际政治,1,674,674,2019,本科一批,重庆,理科
1103,中国人民大学,经济学类,3,684,685,2019,本科一批,重庆,理科
1103,中国人民大学,理科试验班（物理、化学与心理学）,2,674,675,2019,本科一批,重庆,理科
1103,中国人民大学,信息资源管理,3,675,676,2019,本科一批,重庆,理科
1103,中国人民大学,工商管理类,4,675,679,2019,本科一批,重庆,理科
1103,中国人民大学,人力资源管理,2,674,675,2019,本科一批,重庆,理科
1103,中国人民大学,社会学类,2,675,675,2019,本科一批,重庆,理科
1103,中国人民大学,新闻传播学类,2,675,682,2019,本科一批,重庆,理科
1103,中国人民大学,法学,3,676,681,2019,本科一批,重庆,理科
1103,中国人民大学,金融学类,4,685,688,2019,本科一批,重庆,理科
1104,清华大学,临床医学类（医学实验班）,1,705,705,2019,本科一批,重庆,理科
1104,清华大学,计算机类,3,698,706,2019,本科一批,重庆,理科
1104,清华大学,工科试验班类（能源）,2,696,700,2019,本科一批,重庆,理科
1104,清华大学,建筑类,2,699,704,2019,本科一批,重庆,理科
1104,清华大学,临床医学类（协和）,1,695,695,2019,本科一批,重庆,理科
1104,清华大学,电子信息类,4,698,699,2019,本科一批,重庆,理科
1104,清华大学,工科试验班类（自动化与工业工程）,3,694,697,2019,本科一批,重庆,理科
1104,清华大学,理科试验班类（化生）,1,698,698,2019,本科一批,重庆,理科
1104,清华大学,理科试验班类（经济、金融与管理）,4,695,703,2019,本科一批,重庆,理科
1104,清华大学,法学（含国际班）,1,694,694,2019,本科一批,重庆,理科
1105,北京交通大学,理科试验班类,5,634,637,2019,本科一批,重庆,理科
1105,北京交通大学,软件工程,4,636,638,2019,本科一批,重庆,理科
